abbrev_source_title,abstract,address,affiliation,affiliations,art_number,author,author_keywords,chemicals_cas,coden,correspondence_address,correspondence_address1,document_type,doi,editor,funding_details,funding_text 1,funding_text 2,funding_text 3,isbn,issn,journal,keywords,language,note,number,page_count,pages,pmid,publication_stage,publisher,pubmed_id,references,source,sponsors,title,tradenames,url,volume,year,affiliation_,author_email,booktitle,da,doc_delivery_number,earlyaccessdate,eissn,funding_acknowledgement,funding_text,meeting,month,note_,number_of_cited_references,oa,orcid_numbers,organization,research_areas,researcherid_numbers,series,unique_id,usage_count_last_180_days,usage_count_since_2013,web_of_science_categories,web_of_science_index
Int. J. Agric. Sustainability,"Understanding the logic behind farmers' choice of adaptive water management practice is important to appreciate the opportunities and challenges they face and to scale targeted solutions effectively. This paper aims to understand the main drivers of change that induce adaptation in water management. The Multi-Level Perspective (MLP) framework that juxtaposed the within and across micro-, meso-, and macro-level drivers was applied to a case study of the Nile Delta to identify key drivers of change and farmers' adaptive responses. The framework helped in contextualizing key gender, temporal, and spatial dimensions of the drivers, and to identify their individual and interactive effects on farmers' adaptation decisions. We find that farmers' gender-differential water management choices are influenced not only by the individual changes in the three spheres of influence but also their interactions. The study highlights the benefits of using MLP to identify challenges that should often be tackled simultaneously to improve agricultural water delivery and use. We demonstrated that adaptation choices in water management are more sustainable when farmers' decisions are supported by enabling environments, including local regulations, norms, national institutional frameworks, and policies. They are also informed by and responsive to global trends such as climate change and markets. © 2022 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",UNKNOW,"International Center for Agricultural Research in the Dry Areas, Cairo, Egypt; The Agricultural Research Center of Egypt, Cairo, Egypt; Office of Innovation, Food and Agriculture Organization of the United Nations (UN-FAO), Rome, Italy","International Center for Agricultural Research in the Dry Areas, Cairo, Egypt; The Agricultural Research Center of Egypt, Cairo, Egypt; Office of Innovation, Food and Agriculture Organization of the United Nations (UN-FAO), Rome, Italy",UNKNOW,"Dessalegn, Bezaiet and Abd-Allah, Eman and Salem, Shaban and Swelam, Atef and Yigezu, Yigezu A.",Adaptation; climate change; gender; irrigation water management; multi-level perspective,UNKNOW,UNKNOW,"B. Dessalegn; International Center for Agricultural Research in the Dry Areas, Port Said, Cairo, Victoria, Bezaiet Dessalegn, 2   Square, Ismail El-Shaaer Building, 11711, Egypt; email: b.dessalegn@cgiar.org",UNKNOW,Article,10.1080/14735903.2022.2082765,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,14735903,International Journal of Agricultural Sustainability,Egypt; Nile Delta; adaptive management; climate change; management practice; sustainability; water management,English,"Cited by: 2; All Open Access, Hybrid Gold Open Access",7,UNKNOW,1397 – 1414,UNKNOW,Final,Taylor and Francis Ltd.,UNKNOW,UNKNOW,Scopus,UNKNOW,Explaining shifts in adaptive water management using a gendered multi-level perspective (MLP): a case study from the Nile Delta of Egypt,UNKNOW,https://www.scopus.com/inward/record.uri?eid,20,2022,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW
Clim. Change,"Farmers are front-line workers managing climatic change. As in many parts of the world, climate change in northern California is threatening natural resource-dependent communities by exacerbating droughts, heatwaves, and wildfires. This article draws on ethnographic methods, including 108 interviews with crop and livestock farmers and key informants, to query climate change experience, belief, and response in rural northeastern California. I find that farmers recognize and describe climate changes that match the meteorologic evidence of anthropogenic climate change, but attribute these changes to weather cycles and harsh geographies. However, irrespective of their belief in anthropogenic climate change, farmers implement climate adaptations—many of these practices with mitigation co-benefits, bolstering growing evidence that climate change belief and action are not tightly coupled. To accelerate farmer adaptation, this work suggests that policy and programming focus on actions and outcomes, rather than reshaping belief. © 2022, The Author(s).",UNKNOW,"Berkeley Department of Environmental Science, Policy, and Management, University of California, 130 Mulford Hall #3114, Berkeley, 94720, CA, United States","Berkeley Department of Environmental Science, Policy, and Management, University of California, 130 Mulford Hall #3114, Berkeley, 94720, CA, United States",UNKNOW,"Petersen-Rockney, Margiana",Adaptation; Agriculture; Climate change belief; Farmers; Gender,UNKNOW,CLCHD,"M. Petersen-Rockney; Berkeley Department of Environmental Science, Policy, and Management, University of California, Berkeley, 130 Mulford Hall #3114, 94720, United States; email: margiana@berkeley.edu",UNKNOW,Article,10.1007/s10584-022-03417-9,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,01650009,Climatic Change,California; United States; Agriculture; Adaptation; Anthropogenic climate changes; California; Case-studies; Climate change belief; Climatic changes; Farmer; Front-line workers; Gender; Heatwaves; adaptation; agriculture; climate change; gender; mitigation; Climate change,English,"Cited by: 12; All Open Access, Hybrid Gold Open Access",3-4,UNKNOW,UNKNOW,UNKNOW,Final,Springer Science and Business Media B.V.,UNKNOW,UNKNOW,Scopus,UNKNOW,Farmers adapt to climate change irrespective of stated belief in climate change: a California case study,UNKNOW,https://www.scopus.com/inward/record.uri?eid,173,2022,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW
Cultiv. and Drought Manag. in Agric.: Clim. Chang. Adapt.,"This book represents the background of the Barind Tract of Bangladesh with the proximity of drought information, conceptual and logic of the books, history, definition and perception on drought and climate scenario and how people understand underlying causes, impacts and consequences of drought in agriculture, environment, human health and society. It also states the trend and severity of drought of Barind Tract. This book gives the local response to cope, mitigation and adaptation to agricultural drought. The book also addresses the gender response in the hardship of drought in the rural areas. It also elicits the local and indigenous methods of drought prediction and sustainable cultivation and management of drought in agriculture. © The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Switzerland AG 2023. All rights reserved.",UNKNOW,"International University of Business Agriculture and Technology (IUBAT), Dhaka, Bangladesh","International University of Business Agriculture and Technology (IUBAT), Dhaka, Bangladesh",UNKNOW,"Islam, Md. Shafiqul",Climate change and adaptation; Disaster/drought insurance; Gender and diversity focused solutions; Nature based and field specific solutions; Sustainable livelihood framework,UNKNOW,UNKNOW,UNKNOW,UNKNOW,Book,10.1007/978-3-031-35418-2,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,978-303135418-2; 978-303135417-5,UNKNOW,Cultivation and Drought Management in Agriculture: Climate Change Adaptation,UNKNOW,English,Cited by: 1,UNKNOW,UNKNOW,1 – 217,UNKNOW,Final,Springer International Publishing,UNKNOW,UNKNOW,Scopus,UNKNOW,Cultivation and drought management in agriculture: Climate change adaptation,UNKNOW,https://www.scopus.com/inward/record.uri?eid,UNKNOW,2023,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW
Clim. Dev.,"Adaptive capacity is critical for understanding the climate resilience of social-ecological systems. A gendered lens is of particular importance as women are simultaneously one of the most vulnerable social groups to climate change and carry a significant adaptation burden. Individuals’ adaptive capacity is partially determined by learning and cognition, specifically one’s ability to process, assess and react to a changing climate. Formal education experience is thought to increase the learning and cognitive aspects of adaptive capacity. This study uses a novel method, Participatory Adaptation Scenario and Mapping Activity (PASMA) to explore the influence formal education may have on the decision-making processes of pastoral women as they adapt to drought in Samburu, Kenya. Our results indicate participants with formal education may be more risk-averse following drought, but initially assess and react to signs of drought similarly to peers without formal education experience. We argue that increased risk perception might be explained by formal education’s influence on the learning component of adaptive capacity. We also contend that formal education may fail to influence the agency of pastoral women as a result of systemic issues, and therefore limiting the potential of formal education to improve adaptive capacity. © 2021 Informa UK Limited, trading as Taylor & Francis Group.",UNKNOW,"Human Dimensions of Natural Resources, Colorado State University, Fort Collins, CO, United States; School of Education, Colorado State University, Fort Collins, CO, United States; Colorado State University, Fort Collins, CO, United States","Human Dimensions of Natural Resources, Colorado State University, Fort Collins, CO, United States; School of Education, Colorado State University, Fort Collins, CO, United States; Colorado State University, Fort Collins, CO, United States",UNKNOW,"Walker, Sarah E. and Bruyere, Brett L. and Zarestky, Jill and Yasin, Apin and Lenaiyasa, Elizabeth and Lolemu, Anna and Pickering, Tomas",adaptive capacity; Climate change; education; gender; Kenya; pastoralism; resilience; semi-arid landscapes; social-ecological systems,UNKNOW,UNKNOW,"S.E. Walker; Human Dimensions of Natural Resources, Colorado State University, Fort Collins, United States; email: sewalker@colostate.edu",UNKNOW,Article,10.1080/17565529.2021.1930508,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,17565529,Climate and Development,Kenya; Samburu; climate change,English,Cited by: 13,5,UNKNOW,409 – 418,UNKNOW,Final,Taylor and Francis Ltd.,UNKNOW,UNKNOW,Scopus,UNKNOW,Education and adaptive capacity: the influence of formal education on climate change adaptation of pastoral women,UNKNOW,https://www.scopus.com/inward/record.uri?eid,14,2022,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW
Front. Clim.,"Nature-based Solutions (NbS) are a priority area for the European Commission. The European Union (EU) will fund projects on NbS under Horizon Europe, the EU's framework program for research and innovation (2021–2027). We argue that the Commission needs to fund more projects that actively include local communities in the development and implementation of NbS. Specifically, the Commission needs to fund projects that include two oft-forgotten stakeholder groups: women and indigenous peoples. The literature demonstrates that success of NbS is dependent on the inclusion of a variety of stakeholders and that indigenous peoples and women and girls are critically important stakeholders. As the inclusion of these stakeholders is vital to the success of NbS, funding projects that specifically include these stakeholders will help the EU to achieve two important policy goals: the goal to provide evidence for NbS and the goal to advance the development, uptake and upscale of NbS. Copyright © 2022 Gaspers, Oftebro and Cowan.",UNKNOW,"SINTEF Ocean, Department of Climate and Environment, Trondheim, Norway","SINTEF Ocean, Department of Climate and Environment, Trondheim, Norway",UNKNOW,"Gaspers, Anne and Oftebro, Thea Lurås and Cowan, Emily",climate change; disaster resilience; European Union policy; Horizon Europe; indigenous peoples; Nature-based Solutions; stakeholder integration; women and girls,UNKNOW,UNKNOW,"A. Gaspers; SINTEF Ocean, Department of Climate and Environment, Trondheim, Norway; email: anne.gaspers@sintef.no",UNKNOW,Article,10.3389/fclim.2022.831430,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,26249553,Frontiers in Climate,UNKNOW,English,"Cited by: 4; All Open Access, Gold Open Access",UNKNOW,UNKNOW,UNKNOW,UNKNOW,Final,Frontiers Media S.A.,UNKNOW,UNKNOW,Scopus,UNKNOW,Including the Oft-Forgotten: The Necessity of Including Women and Indigenous Peoples in Nature-Based Solution Research,UNKNOW,https://www.scopus.com/inward/record.uri?eid,4,2022,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW
Nat. Hazards,"The climate and environmental changes in the Global South have devastating effects on vulnerable populations, which have been perpetuated by socio-economic and political as well as gender inequalities and non-existent interventions to adapt and mitigate its adverse effects. Underpinned by the Protection Motivation Theory and Social-Cognitive Preparation model, this systematic literature review article depicts how vulnerable populations are impacted by climate change in the Global South. Using the empirical data from credible databases including the Web of Science and Scopus, 23 articles published since 2018 were searched, retrieved, coded, and classified with three themes emerging from the synthesised literature. The analysis of the literature confirms that climate change indeed impacts vulnerable populations adversely; the adaptability mechanisms are not applied by governments which are contrary to the international frameworks; and lastly, that such groups are discriminated against, undermined, and overlooked in societal programmes and interventions to mitigate the impacts of climate-induced disasters. Climate change impacts have severely destroyed the livelihoods of vulnerable populations and are exacerbated by socio-economic and political inequalities, with the adaptation and mitigation mechanisms deemed ineffective. Gaps in current research studies include the paucity of empirical data shedding light on the interventions provided for sexual gender-based violence victims and punitive actions issued against the perpetrators during and in the aftermath of the climate-induced disasters. There is also scant empirical data testing the adaptation and mitigation mechanisms’ effectiveness. © 2023, The Author(s).",UNKNOW,"University of South Africa, Pretoria, South Africa","University of South Africa, Pretoria, South Africa",UNKNOW,"Ngcamu, Bethuel Sibongiseni",Adaptation strategies; Climate change; Frameworks; Persons with disabilities; Sexual gender-based violence; Women,UNKNOW,UNKNOW,"B.S. Ngcamu; University of South Africa, Pretoria, South Africa; email: ngcamuzaa@gmail.com",UNKNOW,Review,10.1007/s11069-023-06070-2,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,0921030X,Natural Hazards,adaptation; climate change; environmental change; gender disparity; literature review; population dynamics; sexual violence; strategic approach; vulnerability,English,"Cited by: 31; All Open Access, Hybrid Gold Open Access",2,UNKNOW,977 – 991,UNKNOW,Final,Springer Science and Business Media B.V.,UNKNOW,UNKNOW,Scopus,UNKNOW,Climate change effects on vulnerable populations in the Global South: a systematic review,UNKNOW,https://www.scopus.com/inward/record.uri?eid,118,2023,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW
"Environment, Climate, and Soc. Justice: Perspectives and Practices from the Global South","Because of variations in socio-environmental vulnerability, men, women, children, ethnic groups, and the elderly are affected disproportionately during climate disasters. Indigenous people are among the poorest in the world. Still, with a global representation of only 5%, indigenous people protect 80% of the biodiversity on the planet. Women are especially active in environmental care and ecosystem restoration. However, the dominant mindset in the North American political scenario has prioritized military security over environmental conflicts. Their reference object was the state. The values at risk are sovereignty and territorial integrity, reducing interest in people and nature. Gender security focuses on women, indigenous and vulnerable groups, analysing gender relations, equity, and empowerment to overcome the patriarchal worldview and institutions represented by transnational corporations, churches, and authoritarian governments. Latin America, especially Central America and Mexico (Mesoamerica), are highly affected by climate change. Indigenous women are also the poorest in the whole region. They have a limited capacity for adaptation and little governmental support. They often live in abrupt mountain regions or have migrated into unsafe slums of megacities. Indigenous Aymaras in the Andes have developed resilience and new ways to overcome pandemics, disasters, and poverty through their indigenous cosmovision of ‘living well.' It entails equilibrium between the requirements of nature and humans, which includes happiness as a guiding principle of life and equal behaviour among men and women. It embraces personal and family spheres and the environment, work, and diversion. Indigenous Zapatistas in Chiapas live in peace with and in equity. Their participative governance has eliminated the exploitation of women by men. Zapatistas have negotiated conflicts through consensus about sometimes-contradictory issues, where leaders obey the people within their shell model (caracoles). Their judicial system has evolved thanks to prevention, reintegration, self-reliance, and care about the most vulnerable, including nature and ecosystem services. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2022.",UNKNOW,"Regional Centre for Multidisciplinary Studies, National Autonomous University of Mexico (CRIM-UNAM), Morelos, Cuernavaca, Mexico","Regional Centre for Multidisciplinary Studies, National Autonomous University of Mexico (CRIM-UNAM), Morelos, Cuernavaca, Mexico",UNKNOW,"Oswald-Spring, Úrsula",Climate change; Cosmovision; Gender security; Indigenous women; Latin America; Living well; Mesoamerica; Participative governance; Resilience; Self-reliance,UNKNOW,UNKNOW,"Ú. Oswald-Spring; Regional Centre for Multidisciplinary Studies, National Autonomous University of Mexico (CRIM-UNAM), Cuernavaca, Morelos, Mexico; email: uoswald@gmail.com",UNKNOW,Book chapter,10.1007/978-981-19-1987-9_7,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,978-981191986-2; 978-981191987-9,UNKNOW,"Environment, Climate, and Social Justice: Perspectives and Practices from the Global South",UNKNOW,English,Cited by: 0,UNKNOW,UNKNOW,117 – 142,UNKNOW,Final,Springer Nature,UNKNOW,UNKNOW,Scopus,UNKNOW,The Impact of Climate Change on the Gender Security of Indigenous Women in Latin America,UNKNOW,https://www.scopus.com/inward/record.uri?eid,UNKNOW,2022,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW
Springer Clim.,"The sustainable development of any socio-ecological system depends on the complex, mutual interaction of societal, economical, and ecological subsystems. In the ramification of climate change, the livelihood and well-being of individuals become endangered. Sundarbans, spanning across the border of India and Bangladesh, is one of the most vulnerable ecoregions, with diverse habitats of rich aquatic resources. Thus, the book chapter was conducted to assess the livelihood and ecological context of the climate change crisis for the women fisherfolk communities and their coping practices for their future uplifting in terms of the sustainable small-scale fishery. To achieve the goal of the study, the authors conducted a systematic literature review using a 6-step, systematic literature review protocol. Different journals, research papers, and books were reviewed for assessing the climate change impacts and coping practices of the women fisherfolk communities in the UNESCO heritage Sundarbans. A large rural population is dependent on climate-sensitive sectors of fishing activity and capture fishery in Sundarbans. As climate change directs ecosystem transformation, over the last two decades this region’s small-scale fishery is confronting challenges of extreme natural events, anthropological, and socio-political conflicts. The influence of climate change is disproportionately high on women fisherfolk as they are more dependent on their livelihood on natural resources. © 2022, The Author(s), under exclusive license to Springer Nature Switzerland AG.",UNKNOW,"Department of Zoology, Sundarban Hazi Desarat College, West Bengal South 24 Parganas, India; Department of Environmental Sciences, Jahangirnagar University, Dhaka, Bangladesh","Department of Zoology, Sundarban Hazi Desarat College, West Bengal South 24 Parganas, India; Department of Environmental Sciences, Jahangirnagar University, Dhaka, Bangladesh",UNKNOW,"Mitra, Anisa and Barua, Prabal",Climate change; Small-scale fisheries; Sundarbans; Sustainability; Women fisherfolk,UNKNOW,UNKNOW,"P. Barua; Department of Environmental Sciences, Jahangirnagar University, Dhaka, Bangladesh; email: prabalims@gmail.com",UNKNOW,Book chapter,10.1007/978-3-031-15501-7_28,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,23520698,Springer Climate,UNKNOW,English,Cited by: 0,UNKNOW,UNKNOW,701 – 729,UNKNOW,Final,Springer Science and Business Media B.V.,UNKNOW,UNKNOW,Scopus,UNKNOW,Coping Practices of Women Fisherfolk in Responses to Climate Change at UNESCO Declared World Heritage Site of Sundarbans,UNKNOW,https://www.scopus.com/inward/record.uri?eid,UNKNOW,2022,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW
GeoJournal,"Climate change is projected to have a serious impact on all sectors of the world. The agriculture sector is one of the most vulnerable sectors with implications for smallholder farmers in semi-arid regions of Africa in terms of poverty and food security. Several researches have been carried out on perception and adaptation with a little investigation to unpack the gender differences and how this influence adaptation strategies. This research investigates gender difference and gender-specific adaptation strategies to climate change and variability. A household survey was conducted from August to December 2014 using a pre-tested questionnaire where 150 males and 150 female farmers were randomly sampled from 14 communities within the Bolgatanga Municipality and Bongo district. Results show the existence of gender differences in the adaptation strategies. Both gender groups perceived climatic change and variability but only 49% male and 40% female headed household (HH) have adopted strategies to cope with increasing temperatures while 56% male and 49% female have adapted to decreasing precipitation. On the other hand, 62% male and 60% female HH have adapted to increasing drought spells. The main differences between male and female adaptation strategies are that males prefer to migrate and seek employment in other parts of the country whereas females prefer to engage in off-farm jobs such as trading, basketry and shea-butter processing. The age of farmers, access to extension services, credit, perceived loss of soil fertility, among other factors influenced farmers adaptation strategies. Policy decisions to promote adaptation to climate change and variability should take these factors into consideration. © 2020, Springer Nature B.V.",UNKNOW,"Department of Architecture, College of Art and Built Environment, Kwame Nkrumah University of Science and Technology, Kumasi, Ghana; Center for Development Research, University of Bonn, Genscherallee, 3, Bonn, 53113, Germany; Institute for Environment and Sanitation Studies (IESS), University of Ghana, P. O. Box 209, Legon, Accra, Ghana","Department of Architecture, College of Art and Built Environment, Kwame Nkrumah University of Science and Technology, Kumasi, Ghana; Center for Development Research, University of Bonn, Genscherallee, 3, Bonn, 53113, Germany; Institute for Environment and Sanitation Studies (IESS), University of Ghana, P. O. Box 209, Legon, Accra, Ghana",UNKNOW,"Mensah, Michael and Vlek, Paul L. G. and Fosu-Mensah, Benedicta Y.",Adaptation; Climate change; Gender; Household; Perception,UNKNOW,GEOJD,"B.Y. Fosu-Mensah; Institute for Environment and Sanitation Studies (IESS), University of Ghana, Legon, Accra, P. O. Box 209, Ghana; email: yayramensah@staff.ug.edu.gh",UNKNOW,Article,10.1007/s10708-020-10261-w,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,03432521,GeoJournal,Bongo; Ghana; Upper East Region; Agricultural robots; Agriculture; Arid regions; Food supply; Surveys; Adaptation strategies; Adaptation to climate changes; Agriculture sectors; Gender differences; Household surveys; Increasing temperatures; Smallholder farmers; Specific adaptations; agriculture; climate change; climate effect; food security; gender; semiarid region; smallholder; vulnerability; Climate change,English,"Cited by: 7; All Open Access, Bronze Open Access",1,UNKNOW,363 – 376,UNKNOW,Final,Springer Science and Business Media Deutschland GmbH,UNKNOW,UNKNOW,Scopus,UNKNOW,Gender and climate change linkages in the semi-arid region of Ghana,UNKNOW,https://www.scopus.com/inward/record.uri?eid,87,2022,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW
Proc. Inst. Civ. Eng.Eng. Sustain.,"How does society engage public and community support for and co-create action on climate and environmental change, resilient water management and sustainable critical infrastructure? The answer to this often-asked question, as expected, is not simple yet also not complicated - just a complex layering of scales and dimensions from engineering, environmental and social sciences, science communication and intergenerational recognition that there is not a ‘one-size-fits-all’ approach - just as with technical infrastructures. With these perspectives in mind, this paper shares best practice on mobilising the co-creation of sustainable water-resilient communities in the south-west of England, UK. Consideration of evidence and engagement across multiple scales and dimensions is positioned through exploration and evaluation of projects undertaken through the Westcountry Rivers Trust’s Water Resilient Communities programme in two counties (Devon and Somerset). The projects cover town-based sustainable drainage systems (Sudss) co-created with residents, school-based Sudss co-created with children and teachers and a Water Resilience Summit and associated hub co-created with communities and businesses. Over 400 people were directly engaged in exploring, planning and co-creating different aspects, which met the intended objectives. Learning points were uncovered and reflected on to take forward into future projects to enable further mobilisation of sustainable water-resilient communities. © Emerald Publishing Limited: All rights reserved.",UNKNOW,"Westcountry Rivers Trust, Callington, United Kingdom; Evidence & Impact, Westcountry Rivers Trust, Callington, United Kingdom","Westcountry Rivers Trust, Callington, United Kingdom; Evidence & Impact, Westcountry Rivers Trust, Callington, United Kingdom",UNKNOW,"Ward, Sarah and Paling, Nick and Rogers, Andrew",children; climate adaptation; climate change; co-creation; collaborative governance; community engagement; natural capital; nature-based solutions; participatory modelling; social capital; sustainable drainage systems; UN SDG 11: Sustainable cities and communities; UN SDG 13: Climate action; UN SDG 17: Partnerships for the goals; UN SDG 4: Quality education; UN SDG 5: Gender equality; UN SDG 6: Clean water and sanitation; urban ecosystem services; water resilience; West Country,UNKNOW,UNKNOW,"S. Ward; Westcountry Rivers Trust, Callington, United Kingdom; email: sarahward@wrt.org.uk",UNKNOW,Article,10.1680/jensu.21.00095,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,14784629,Proceedings of the Institution of Civil Engineers: Engineering Sustainability,Climate change; Sustainable development; Water conservation; Best practices; Community support; Environmental change; Public support; Science communications; Simple++; Sustainable drainage systems; Sustainable water; Technical infrastructure; Waters managements; Water management,English,Cited by: 5,4,UNKNOW,171 – 179,UNKNOW,Final,ICE Publishing,UNKNOW,UNKNOW,Scopus,UNKNOW,"Mobilising sustainable, water-resilient communities in the UK: Evidence and engagement across scales",UNKNOW,https://www.scopus.com/inward/record.uri?eid,176,2022,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW,UNKNOW
